"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10"
60 18.7 21.4 21.7 7 7 7 -5.6382 -6.0622 -6.8937 72
70 18.4 17.1 20.5 3 6 3 -5.9088 -3.2139 -4.4995 60
77 17.1 20 20.8 4 5 4 -1.9284 -1.0261 0.5209 70
98 17.8 22.8 24.3 1 1 0 0 -1.5321 -1 77
111 20.9 25.2 26.7 1 5 2 -1.0261 -3 -2.2981 98
75 18.8 20.5 26 8 7 1 -0.866 0 0 111
116 23.5 29.8 31.7 1 3 5 1.8794 1.3681 0.6946 75
109 20.8 23.7 26.6 8 5 4 -1.0261 -1.7101 -3.2139 116
67 18.8 21.1 18.9 7 7 8 -5.3623 -5.3623 -2.5 86
76 17.8 21.3 24 7 5 5 -3.0642 -2.2981 -3.9392 67
113 20.6 24.8 27 1 1 2 1.3681 0.8682 -2.2981 76
117 21.6 26.9 28.6 6 6 4 1.5321 1.9284 1.9284 113
131 22.7 28.4 30.1 5 3 3 0.1736 -1.9696 -1.9284 117
166 19.8 27.2 30.8 4 0 1 0.6428 -0.866 0.684 131
159 25 33.5 35.5 1 1 1 1 0.6946 -1.7101 166
100 20.1 22.9 27.6 8 8 6 1.2856 -1.7321 -0.684 159
114 21 26.3 26.4 7 4 5 3.0642 2.8191 1.3681 100
112 21 24.4 26.8 1 6 3 4 4 3.7588 114
101 16.9 17.8 20.6 7 7 7 -2 -0.5209 1.8794 112
76 17.5 18.6 18.7 7 7 7 -3.4641 -4 -1.7321 101
59 16.5 20.3 20.3 5 7 6 -4.3301 -5.3623 -4.5 76
76 17.3 22.7 24.6 4 5 6 -2.9544 -2.9544 -2 78
55 15.3 16.8 19.2 8 7 5 -1.8794 -1.8794 -2.3941 76
71 15.9 19.2 19.5 7 5 3 -6.1284 0 -1.3892 55
66 16.2 18.9 19.3 2 5 6 -1.3681 -0.8682 1.7101 71
68 16.9 20.8 22.5 6 5 7 -1.5 -3.4641 -3.0642 59
63 17.3 19.8 19.4 7 8 8 -4.5963 -6.0622 -4.3301 68
78 14.2 22.2 22 5 5 6 -0.866 -5 -5 62
74 15.8 18.7 19.1 8 7 7 -4.5963 -6.8937 -7.5175 78
71 15.2 17.9 18.6 6 5 1 -1.0419 -1.3681 -1.0419 74
69 17.1 17.7 17.5 6 7 8 -5.1962 -2.7362 -1.0419 71
71 15.4 17.7 16.6 4 5 5 -3.8302 0 1.3892 69
42 12.7 14.3 14.9 8 7 7 -2.5 -3.2139 -2.5 60
65 14.8 16.3 15.9 7 7 7 -4.3301 -6.0622 -5.1962 42
71 15.5 18 17.4 7 7 6 -3.9392 -3.0642 0 65
98 15.2 19.7 20.3 2 2 2 4 5 4.3301 96
92 14.7 17.6 18.2 1 4 6 5.1962 5.1423 3.5 98
76 13.3 17.7 17.7 7 7 6 -0.9397 -0.766 -0.5 92
84 13.3 17.7 17.8 3 5 6 0 -1 -1.2856 76
77 16.2 20.8 22.1 6 5 5 -0.6946 -2 -1.3681 71
99 16.9 23 22.6 6 4 7 1.5 0.8682 0.8682 77
83 16.9 19.8 22.1 6 5 3 -4 -3.7588 -4 99
70 15.7 18.6 20.7 7 7 7 0 -1.0419 -4 83
